id,prices.amountMax,prices.amountMin,prices.availability,prices.currency,prices.dateSeen,prices.isSale,prices.merchant,prices.shipping,brand,manufacturer,primaryCategories,weight,,,,,
AVpiFC-LilAPnD_xAgKu,89.99,89.99,Yes,USD,"2017-10-10T17:00:00Z,2017-08-29T23:00:00Z,2017-07-31T22:00:00Z,2017-08-01T17:00:00Z,2017-05-09T11:00:00Z,2017-05-01T06:00:00Z,2017-05-18T04:00:00Z,2017-04-04T09:00:00Z",FALSE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,80.99,80.99,Yes,USD,"2017-08-29T23:00:00Z,2017-07-31T22:00:00Z,2017-08-01T17:00:00Z,2017-07-07T13:00:00Z,2017-05-09T11:00:00Z,2017-05-01T06:00:00Z,2017-05-18T04:00:00Z",TRUE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,64.99,64.99,Yes,USD,"2017-07-26T15:00:00Z,2017-06-01T18:00:00Z",TRUE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiFC-LilAPnD_xAgKu,59.99,59.99,Yes,USD,2017-03-30T01:00:00Z,TRUE,Bestbuy.com,,Alpine,,Electronics,5.2 pounds,,,,,
AVpiSS1A1cnluZ0-LyAY,249.99,249.99,undefined,USD,2018-05-26T16:00:00Z,FALSE,Bestbuy.com,,Transcend,TRANSCEND Storage,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,289.99,289.99,Yes,USD,2014-09-28T20:00:00Z,FALSE,Bestbuy.com,Free Shipping,Transcend,TRANSCEND Storage,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,270.99,270.99,Yes,USD,2014-09-28T20:00:00Z,TRUE,Bestbuy.com,Free Shipping,Transcend,TRANSCEND Storage,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,348.99,348.99,In Stock,USD,"2018-01-27T16:00:00Z,2018-01-25T16:00:00Z,2018-01-09T22:00:00Z,2018-01-13T06:00:00Z,2017-12-09T12:00:00Z,2017-12-08T09:00:00Z,2017-12-05T21:00:00Z,2017-11-18T18:00:00Z,2017-10-17T17:00:00Z,2017-09-22T09:00:00Z,2017-09-24T10:00:00Z,2017-08-30T00:00:00Z,2017-08-22T19:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Transcend,TRANSCEND Storage,Electronics,3 ounces,,,,,
AVpiSS1A1cnluZ0-LyAY,349.99,349.99,In Stock,USD,"2018-05-03T18:00:00Z,2018-05-07T19:00:00Z,2018-05-06T17:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,Transcend,TRANSCEND Storage,Electronics,3 ounces,,,,,
AVpgnnzJilAPnD_xu_7Q,22.99,22.99,Yes,USD,"2017-03-21T16:00:00Z,2017-03-05T15:00:00Z",FALSE,Bestbuy.com,,Samsung,SAMSUNG,Electronics,5.6 ounces,,,,,
AVpgnnzJilAPnD_xu_7Q,14.84,14.84,yes,USD,2017-08-28T12:00:00Z,FALSE,accessorynet,FREE,Samsung,SAMSUNG,Electronics,5.6 ounces,,,,,
AVpgnnzJilAPnD_xu_7Q,17.99,17.99,Yes,USD,"2017-04-26T10:00:00Z,2017-03-31T09:00:00Z",FALSE,Bestbuy.com,,Samsung,SAMSUNG,Electronics,5.6 ounces,,,,,
AVpfyGvu1cnluZ0-rMw9,49,49,In Stock,USD,"2018-01-13T03:00:00Z,2017-12-07T23:00:00Z,2017-12-07T19:00:00Z,2017-12-05T11:00:00Z,2017-11-18T09:00:00Z,2017-08-22T12:00:00Z,2017-08-29T15:00:00Z,2017-08-19T08:00:00Z",FALSE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,MEE audio,,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,34.99,34.99,In Stock,USD,2018-04-26T16:00:00Z,TRUE,bhphotovideo.com,Free Expedited Shipping for most orders over $49,MEE audio,,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,62.99,62.99,Yes,USD,2014-09-28T20:00:00Z,FALSE,Bestbuy.com,Free Shipping on orders 35 and up,MEE audio,,Electronics,3.88 oz,,,,,
AVpfyGvu1cnluZ0-rMw9,44.99,44.99,Yes,USD,"2017-08-01T00:00:00Z,2017-08-01T17:00:00Z,2017-07-26T21:00:00Z",FALSE,Bestbuy.com,,MEE audio,,Electronics,3.88 oz,,,,,
